,name,class,path
0,0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG.jpg
1,006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG.jpg
2,00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot 3132.JPG.jpg
3,01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG.jpg
4,0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG.jpg
5,018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG.jpg
6,01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG.jpg
7,01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG.jpg
8,01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG.jpg
9,024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG.jpg
